""	"x"
"1"	"Bayern Muenchen"
"2"	"Schalke 04"
"3"	"VfL Wolfsburg"
"4"	"Bayer Leverkusen"
"5"	"Karlsruher SC"
"6"	"Energie Cottbus"
"7"	"Arminia Bielefeld"
"8"	"Eintracht Frankfurt"
"9"	"Borussia Moenchengladbach"
"10"	"Hannover 96"
"11"	"Werder Bremen"
"12"	"Hamburger SV"
"13"	"VfB Stuttgart"
"14"	"Hertha BSC Berlin"
"15"	"Borussia Dortmund"
"16"	"1899 Hoffenheim"
"17"	"VfL Bochum"
"18"	"1. FC Koeln"
"19"	"Karlsruher SC"
"20"	"Schalke 04"
"21"	"VfL Wolfsburg"
"22"	"Bayer Leverkusen"
"23"	"Energie Cottbus"
"24"	"Arminia Bielefeld"
"25"	"Borussia Moenchengladbach"
"26"	"Bayern Muenchen"
"27"	"VfB Stuttgart"
"28"	"Werder Bremen"
"29"	"Hamburger SV"
"30"	"Hertha BSC Berlin"
"31"	"Borussia Dortmund"
"32"	"1899 Hoffenheim"
"33"	"1. FC Koeln"
"34"	"Hannover 96"
"35"	"VfL Bochum"
"36"	"Eintracht Frankfurt"
"37"	"Bayer Leverkusen"
"38"	"Bayern Muenchen"
"39"	"Schalke 04"
"40"	"Energie Cottbus"
"41"	"Arminia Bielefeld"
"42"	"Borussia Moenchengladbach"
"43"	"VfL Wolfsburg"
"44"	"VfB Stuttgart"
"45"	"1899 Hoffenheim"
"46"	"1. FC Koeln"
"47"	"Werder Bremen"
"48"	"Hamburger SV"
"49"	"Hannover 96"
"50"	"Hertha BSC Berlin"
"51"	"VfL Bochum"
"52"	"Borussia Dortmund"
"53"	"Eintracht Frankfurt"
"54"	"Karlsruher SC"
"55"	"Arminia Bielefeld"
"56"	"Bayern Muenchen"
"57"	"VfB Stuttgart"
"58"	"Bayer Leverkusen"
"59"	"Borussia Moenchengladbach"
"60"	"1899 Hoffenheim"
"61"	"Schalke 04"
"62"	"Borussia Dortmund"
"63"	"Energie Cottbus"
"64"	"VfL Bochum"
"65"	"Werder Bremen"
"66"	"VfL Wolfsburg"
"67"	"Hannover 96"
"68"	"Eintracht Frankfurt"
"69"	"Hertha BSC Berlin"
"70"	"Karlsruher SC"
"71"	"1. FC Koeln"
"72"	"Hamburger SV"
"73"	"Bayer Leverkusen"
"74"	"Bayern Muenchen"
"75"	"Schalke 04"
"76"	"Hannover 96"
"77"	"Energie Cottbus"
"78"	"Borussia Moenchengladbach"
"79"	"VfB Stuttgart"
"80"	"Borussia Dortmund"
"81"	"1899 Hoffenheim"
"82"	"Werder Bremen"
"83"	"Arminia Bielefeld"
"84"	"Karlsruher SC"
"85"	"VfL Wolfsburg"
"86"	"Hamburger SV"
"87"	"Eintracht Frankfurt"
"88"	"Hertha BSC Berlin"
"89"	"VfL Bochum"
"90"	"1. FC Koeln"
"91"	"Bayer Leverkusen"
"92"	"Bayern Muenchen"
"93"	"Werder Bremen"
"94"	"VfB Stuttgart"
"95"	"Hannover 96"
"96"	"Energie Cottbus"
"97"	"1899 Hoffenheim"
"98"	"Borussia Dortmund"
"99"	"Borussia Moenchengladbach"
"100"	"1. FC Koeln"
"101"	"Hamburger SV"
"102"	"VfL Wolfsburg"
"103"	"Karlsruher SC"
"104"	"VfL Bochum"
"105"	"Arminia Bielefeld"
"106"	"Schalke 04"
"107"	"Eintracht Frankfurt"
"108"	"Hertha BSC Berlin"
"109"	"Hannover 96"
"110"	"VfB Stuttgart"
"111"	"Bayer Leverkusen"
"112"	"Hertha BSC Berlin"
"113"	"Borussia Dortmund"
"114"	"Energie Cottbus"
"115"	"Borussia Moenchengladbach"
"116"	"1899 Hoffenheim"
"117"	"Werder Bremen"
"118"	"Karlsruher SC"
"119"	"Bayern Muenchen"
"120"	"Schalke 04"
"121"	"VfL Wolfsburg"
"122"	"Eintracht Frankfurt"
"123"	"VfL Bochum"
"124"	"Arminia Bielefeld"
"125"	"1. FC Koeln"
"126"	"Hamburger SV"
"127"	"Hertha BSC Berlin"
"128"	"Werder Bremen"
"129"	"Bayer Leverkusen"
"130"	"Hannover 96"
"131"	"Borussia Moenchengladbach"
"132"	"1899 Hoffenheim"
"133"	"VfB Stuttgart"
"134"	"VfL Bochum"
"135"	"Borussia Dortmund"
"136"	"Bayern Muenchen"
"137"	"Schalke 04"
"138"	"Eintracht Frankfurt"
"139"	"Karlsruher SC"
"140"	"Energie Cottbus"
"141"	"Arminia Bielefeld"
"142"	"Borussia Moenchengladbach"
"143"	"VfL Wolfsburg"
"144"	"1. FC Koeln"
"145"	"Borussia Dortmund"
"146"	"Werder Bremen"
"147"	"Hamburger SV"
"148"	"VfB Stuttgart"
"149"	"Bayer Leverkusen"
"150"	"Hannover 96"
"151"	"Hertha BSC Berlin"
"152"	"VfL Bochum"
"153"	"1899 Hoffenheim"
"154"	"Hamburger SV"
"155"	"Hannover 96"
"156"	"1. FC Koeln"
"157"	"Borussia Dortmund"
"158"	"Hertha BSC Berlin"
"159"	"1899 Hoffenheim"
"160"	"VfB Stuttgart"
"161"	"Werder Bremen"
"162"	"VfL Bochum"
"163"	"Arminia Bielefeld"
"164"	"Schalke 04"
"165"	"Karlsruher SC"
"166"	"Bayer Leverkusen"
"167"	"VfL Wolfsburg"
"168"	"Borussia Moenchengladbach"
"169"	"Eintracht Frankfurt"
"170"	"Energie Cottbus"
"171"	"Bayern Muenchen"
"172"	"1899 Hoffenheim"
"173"	"Hertha BSC Berlin"
"174"	"VfL Bochum"
"175"	"Eintracht Frankfurt"
"176"	"Hannover 96"
"177"	"1. FC Koeln"
"178"	"Werder Bremen"
"179"	"Borussia Dortmund"
"180"	"Hamburger SV"
"181"	"Schalke 04"
"182"	"Energie Cottbus"
"183"	"Borussia Moenchengladbach"
"184"	"Karlsruher SC"
"185"	"VfL Wolfsburg"
"186"	"Arminia Bielefeld"
"187"	"VfB Stuttgart"
"188"	"Bayern Muenchen"
"189"	"Bayer Leverkusen"
"190"	"1. FC Koeln"
"191"	"Eintracht Frankfurt"
"192"	"Hannover 96"
"193"	"VfL Bochum"
"194"	"Hertha BSC Berlin"
"195"	"Borussia Dortmund"
"196"	"Werder Bremen"
"197"	"Hamburger SV"
"198"	"Karlsruher SC"
"199"	"Schalke 04"
"200"	"1899 Hoffenheim"
"201"	"Borussia Moenchengladbach"
"202"	"Bayern Muenchen"
"203"	"Energie Cottbus"
"204"	"VfL Wolfsburg"
"205"	"VfB Stuttgart"
"206"	"Arminia Bielefeld"
"207"	"Bayer Leverkusen"
"208"	"VfL Wolfsburg"
"209"	"VfL Bochum"
"210"	"Hertha BSC Berlin"
"211"	"Hannover 96"
"212"	"Karlsruher SC"
"213"	"1. FC Koeln"
"214"	"Eintracht Frankfurt"
"215"	"Werder Bremen"
"216"	"Hamburger SV"
"217"	"Borussia Moenchengladbach"
"218"	"Borussia Dortmund"
"219"	"Arminia Bielefeld"
"220"	"1899 Hoffenheim"
"221"	"Bayer Leverkusen"
"222"	"VfB Stuttgart"
"223"	"Bayern Muenchen"
"224"	"Energie Cottbus"
"225"	"Schalke 04"
"226"	"Arminia Bielefeld"
"227"	"VfL Wolfsburg"
"228"	"VfL Bochum"
"229"	"Hertha BSC Berlin"
"230"	"Eintracht Frankfurt"
"231"	"Hamburger SV"
"232"	"1. FC Koeln"
"233"	"Werder Bremen"
"234"	"Karlsruher SC"
"235"	"Borussia Moenchengladbach"
"236"	"Bayern Muenchen"
"237"	"Hannover 96"
"238"	"Schalke 04"
"239"	"1899 Hoffenheim"
"240"	"Energie Cottbus"
"241"	"Borussia Dortmund"
"242"	"Bayer Leverkusen"
"243"	"VfB Stuttgart"
"244"	"Schalke 04"
"245"	"Arminia Bielefeld"
"246"	"1. FC Koeln"
"247"	"VfL Wolfsburg"
"248"	"VfL Bochum"
"249"	"Eintracht Frankfurt"
"250"	"Karlsruher SC"
"251"	"Hertha BSC Berlin"
"252"	"Hamburger SV"
"253"	"1899 Hoffenheim"
"254"	"Bayern Muenchen"
"255"	"Borussia Dortmund"
"256"	"VfB Stuttgart"
"257"	"Bayer Leverkusen"
"258"	"Werder Bremen"
"259"	"Hannover 96"
"260"	"Energie Cottbus"
"261"	"Borussia Moenchengladbach"
"262"	"VfL Bochum"
"263"	"Arminia Bielefeld"
"264"	"Schalke 04"
"265"	"Eintracht Frankfurt"
"266"	"Karlsruher SC"
"267"	"Bayern Muenchen"
"268"	"VfL Wolfsburg"
"269"	"1. FC Koeln"
"270"	"Hamburger SV"
"271"	"Bayer Leverkusen"
"272"	"Energie Cottbus"
"273"	"VfB Stuttgart"
"274"	"Hannover 96"
"275"	"Borussia Dortmund"
"276"	"Hertha BSC Berlin"
"277"	"1899 Hoffenheim"
"278"	"Borussia Moenchengladbach"
"279"	"Werder Bremen"
"280"	"Bayern Muenchen"
"281"	"Karlsruher SC"
"282"	"1. FC Koeln"
"283"	"VfL Wolfsburg"
